       latitude      longitude observation     resiual  prediction  correction
       36.97958      139.80575    -0.04370     0.00079    -0.04449     0.00000
       38.89460      139.80885     0.05790    -0.00772     0.06562     0.00000
       36.20367      139.81053    -0.03070     0.03232    -0.06302     0.00000
       35.78021      139.81281    -0.03830     0.02536    -0.06366     0.00000
       35.31170      139.82552    -0.07010    -0.00745    -0.06265     0.00000
       38.59404      139.83177     0.01440    -0.04224     0.05664     0.00000
       37.46129      139.83552    -0.04880    -0.03199    -0.01681     0.00000
       39.89113      139.84893     0.03400    -0.02293     0.05693     0.00000
       36.77637      139.85426    -0.02720     0.03117    -0.05837     0.00000
       42.45073      139.85767    -0.00750    -0.00882     0.00132     0.00000
       34.95408      139.86408    -0.00560     0.05559    -0.06119     0.00000
       37.26107      139.87143    -0.01930     0.01594    -0.03524     0.00000
       37.92058      139.87941     0.00510    -0.00955     0.01465     0.00000
       35.67546      139.90235    -0.02030     0.04757    -0.06787     0.00000
       36.45658      139.90251    -0.06000     0.00979    -0.06979     0.00000
       39.20606      139.90772     0.06550    -0.00189     0.06739     0.00000
       36.59895      139.92347    -0.06820     0.00251    -0.07071     0.00000
       39.01597      139.92750     0.04230    -0.02340     0.06570     0.00000
       40.57764      139.92812     0.00910    -0.02633     0.03543     0.00000
       36.11481      139.93150    -0.05010     0.02195    -0.07205     0.00000
       38.75972      139.95737     0.03720    -0.02162     0.05882     0.00000
       35.14380      139.96847    -0.02190     0.04463    -0.06653     0.00000
       37.66929      139.97266    -0.02950    -0.01473    -0.01477     0.00000
       35.00279      139.97489    -0.01030     0.05489    -0.06519     0.00000
       36.30070      139.98777    -0.06450     0.01381    -0.07831     0.00000
       35.94029      139.99272    -0.05900     0.01597    -0.07497     0.00000
       42.13085      140.00395    -0.01980    -0.02243     0.00263     0.00000
       40.09970      140.00550     0.02120    -0.02826     0.04946     0.00000
       40.73063      140.01099     0.00120    -0.02854     0.02974     0.00000
       42.68534      140.01178    -0.02530    -0.02309    -0.00221     0.00000
       35.78647      140.02475    -0.02250     0.05281    -0.07531     0.00000
       40.33940      140.02757     0.03710    -0.00444     0.04154     0.00000
       37.12470      140.03541    -0.04160     0.02625    -0.06785     0.00000
       36.85423      140.03926    -0.08510    -0.00332    -0.08178     0.00000
       41.46638      140.04065     0.01070    -0.00102     0.01172     0.00000
       39.82581      140.04472     0.03010    -0.02698     0.05708     0.00000
       35.65721      140.04809    -0.02160     0.05356    -0.07516     0.00000
       39.39870      140.04824     0.06090    -0.00405     0.06495     0.00000
       40.24730      140.04868     0.03360    -0.01062     0.04422     0.00000
       35.44778      140.05133    -0.08260    -0.00957    -0.07303     0.00000
       39.52756      140.05393     0.04410    -0.01928     0.06338     0.00000
       41.80303      140.07123    -0.01060    -0.01635     0.00575     0.00000
       37.56695      140.07268    -0.04760    -0.01013    -0.03747     0.00000
       38.19754      140.07757    -0.00940    -0.02843     0.01903     0.00000
       36.36491      140.07795    -0.07450     0.01457    -0.08907     0.00000
       35.11186      140.07927    -0.04550     0.02458    -0.07008     0.00000
       36.10364      140.08631    -0.04470     0.03978    -0.08448     0.00000
       36.10558      140.08712    -0.06600     0.01859    -0.08459     0.00000
       36.10611      140.08719    -0.04870     0.03591    -0.08461     0.00000
       36.10568      140.08750    -0.05500     0.02962    -0.08462     0.00000
       37.96361      140.09353    -0.04930    -0.04646    -0.00284     0.00000
       38.43434      140.09463    -0.01320    -0.04825     0.03505     0.00000
       42.00807      140.10732     0.00630     0.00374     0.00256     0.00000
       39.93605      140.13238     0.02170    -0.03117     0.05287     0.00000
       37.42451      140.13588    -0.07720    -0.01534    -0.06186     0.00000
       35.87365      140.14549    -0.06890     0.01521    -0.08411     0.00000
       35.33314      140.14679    -0.00910     0.06660    -0.07570     0.00000
