       latitude      longitude observation     resiual  prediction  correction
       37.12470      140.03541     0.93050    -0.04633     0.97683     0.00000
       36.85423      140.03926     0.80390     0.00287     0.80103     0.00000
       41.46638      140.04065     0.15360    -0.08353     0.23713     0.00000
       39.82581      140.04472     0.63010    -0.10983     0.73993     0.00000
       35.65721      140.04809     0.08790    -0.10026     0.18816     0.00000
       39.39870      140.04824     0.85210    -0.11278     0.96488     0.00000
       40.24730      140.04868     0.41410    -0.14079     0.55489     0.00000
       35.44778      140.05133     0.09010    -0.05206     0.14216     0.00000
       39.52756      140.05393     0.78100    -0.11602     0.89702     0.00000
       41.80303      140.07123     0.12890    -0.06129     0.19019     0.00000
       37.56695      140.07268     1.18980    -0.06559     1.25539     0.00000
       38.19754      140.07757     1.34820    -0.07923     1.42743     0.00000
       36.36491      140.07795     0.49210     0.00373     0.48837     0.00000
       35.11186      140.07927     0.04740    -0.04366     0.09106     0.00000
       36.10364      140.08631     0.32090    -0.02601     0.34691     0.00000
       36.10558      140.08712     0.33090    -0.01696     0.34786     0.00000
       36.10611      140.08719     0.32680    -0.02132     0.34812     0.00000
       36.10568      140.08750     0.31960    -0.02833     0.34793     0.00000
       37.96361      140.09353     1.35380    -0.06301     1.41681     0.00000
       38.43434      140.09463     1.33220    -0.09249     1.42469     0.00000
       42.00807      140.10732     0.08900    -0.07768     0.16668     0.00000
       39.93605      140.13238     0.58460    -0.12092     0.70552     0.00000
       37.42451      140.13588     1.17980    -0.05686     1.23666     0.00000
       35.87365      140.14549     0.22660    -0.02407     0.25067     0.00000
       35.33314      140.14679     0.06830    -0.04937     0.11767     0.00000
       36.69246      140.15769     0.73870     0.00160     0.73710     0.00000
       39.16421      140.16198     1.04330    -0.11786     1.16116     0.00000
       36.95231      140.16476     0.95220     0.01318     0.93902     0.00000
       36.26327      140.17426     0.43500    -0.00403     0.43903     0.00000
       36.54222      140.17931     0.66400     0.03302     0.63098     0.00000
       38.93810      140.18347     1.20210    -0.10785     1.30995     0.00000
       35.54414      140.18656     0.07180    -0.08301     0.15481     0.00000
       38.28898      140.19992     1.46480    -0.09452     1.55932     0.00000
